text,label
ABORTION IS MURDER!!!! GET ON BIRTH CONTROL-----KEEP YOUR LEGS TOGETHER!!!! MAYBE HAVE SOME MORALS!,1
"I was so excited when I first saw the glasses, and I was NOT disappointed with the result!! Well done.",0
"Damn fresh ass cut , 
 Truth is the Step dad can't TAG FOR SHIT ,
 The Counselor was actually a rival from 803 krew and saw that shit and was Like Hell nah Fuck 308 and Capped the Piece. He won't allow Toys in his school,and 
 The White out to fill in the 3D fx for the letters was toy too
 AND THAT LADIES AND GENTLEMEN IS WHY ZIGZAG FROM 803 KREW CAPPED THAT WEAK ASS SPOT ON LIL FOO'S CAVESA",1
"Please, it's the funniest timeline and i need it to happen",0
We all should be thinking this to ourselves,0
"wait till you hear the news about Hans Sama, Inspired and Carzzy playing in NA before you say that",0
Did I say “Fuck The Little Commie Girlie Antifa Bitches” yet?,1
That was the best thing to have instant friends!,0
That’s pretty much exactly what happened to me,0
"Lol fucking true
 Pov: Old man rants
 Get fucked Keem enjoy your faze money and hopefully you finally stfu.
 May every creators sleep in peace goes you are gone. 
 Bye you fucking Gnome",1
"You wont be doing much teaching, you will be there to help the students not be scared of foreigners. As long as you are friendly and approachable you will be great!!!",0
POS!,1
They should Impeach Joe Biden Now and I hope He star's in Alec Baldwin's next Western Movie!,1
"If this is a serious question, it’s the week long break in November that was implemented for student mental health",0
"That truly made me feel so much better, I tend to spiral when I feel I've messed things up. Truly, you've just made it easy for me to atleast sleep tonight. Thank you so much. I don't have anymore question, just immensely grateful.",0
Where is the rape? Fake wore,1
Without a shadow of a doubt! You are jaw dropping,0
Can’t wait to see your session!!,0
"Why do you Americans put up with these people? In Wales, we’d just fuck them up.",1
Fuck your opinion….,1
"Not only need to be fired, they need to be banned from working in any type of law enforcement...""RIGHT ON TO THA REAL ! DEATH TO THA FAKER'S ! !"" -Big Rube",1
"You need to submit an after hours trade as an ""EXT"" order or extended hours order. These EXT orders must also be submitted as a limit order as opposed to a market order for trades that are made during market hours.
 
 
 
 Edit: Grammar",0
You can transfer it to paypal.,0
You’re so full of shit…..and food.,1
"I have nothing to hide
 Fuck Joe Biden!",1
"Upvoted for the elbows, not sure why, just cool ass elbows",0
"I have names for them too, Gold digging Bitch and Daddy's Squeeze.",1
i need that infernal sylas,0
Prosecute trump he is unstable with a full diaper🤡💩💦👶🤮👶💦💩🤡🤑😈🤑🤡💩🤡,1
"Yes, but honestly when reading through it, the books kinda get samey lol.
 
 
 
 I read them because Im just a sap for some Kirito/Asuna but yeah it can feel kinda samey. Hopefully the story gets a hit mixed up soon. As I believe it should soon based on what's alluded to in the og series.",0
"I will not reveal my identity here but I have to state that you deserve what you are getting right now. As a younger man of age 14, 15, 16 and 17 in the 1980s, I was approached by men like you while they abused their positions of power as my employer in order to coerce me to have sex with them; when I did not relent they went so far as attempting to ram pens up my Rectum and surround me in semi-public areas and Gang-like atmosphere. Furthermore, I was approached by Gay Men/Pedophiles to make Gay/Pedophile Porn while still age 14, 15, 16 and 17. I am glad that you, Weinstein and the rest of you pieces of SHIT are being revealed for who you really are - this is the Hollywood of today. While it took me 20 to 35 years to reveal these facts, I am glad that I can share this with the General Public; I am relieved. People like you deserve to be castrated in Public...",1
"I'm still really confused why A-1 has decided to go from floor 1 to floor 5 with their Progressive adaptation. I absolutely love floor 5 (volume 4) of Progressive, but floors 2-4 getting the cut isn't a smart adaptation decision.
 
 
 
 EDIT: So Kawahara has confirmed on his Twitter that the reason floors 2-4 are being skipped is because the Elf War Campaign is still incomplete, and don't want viewers to be unsatisfied with the questline.",0
OH HELL NO BRING ON THE NUREMBERG TRIALS arrest all these mass serial murderers !!!,1
No wonder CAMEL TOE only garnered 2% of the Democrat Primary vote before being kicked to the curb.,1
I've been called horrible things by Warren supporters. They're awful.,0
"One of the few other JETs that I know recently went to the US and came back with a Johnson and Johnson vaccine. I am almost certain that he had to wait 14 days, but he's here now, and I know that he was in the US in August. So if you've got the job, I think you're going to be okay. Do you have any other questions?",0
"Checks out. I am that person. I'm barely 5'2'' in a friend group of 6ft+ giants. Dang it, they're going to be happy giants if I can help it!!",0
ILLEGITIMATE INCOMPETENT TYRANT TALIBIDEN,1
"i love how he triggers these bitter and uninformed magats...even just the mention of his name. 😂💖🥳🥂~ these same people brushed off - justified - rationalized - minimized - ignored every crass, vulgar, immature, out-right lie that trump ever uttered.",1
Attack only Chinese not other Asians,1
