text,label
wow the she-it that sat down is such an a$$ hat,1
Do they even make a muzzle big enough for that cackling beech??,1
More lies from an idiot!! I could do a better job than you! What do you do for us? NOTHING ! You are the farthest thing from a VP!!! Boooooo You Commie La Harris!,1
That’s pretty much exactly what happened to me,0
"He never really bothered me until his later years. I don't care if he relied on cards. Later on he seems to have started to lose... consciousness?
 
 
 
 It doesn't change my opinion of the Funeral Speech. I'm a classicist. All renditions of the play Julius Caesar is reception and I watch a lot of them. Brando's version is my favorite.",0
Haunt and Ghoul Television,0
Just take it from the b*tch,1
I personally think that it’s the maps that are survivor sided however the map spawn points tend to be hunter sided but then again I haven’t played in about a 3-4 days so i’m not sure anymore,0
Can’t wait to see your session!!,0
Just another money making fund raiser for the Libtard thieves...,1
"Let’s just bow down to the person who censored it all for the young viewers. Maybe the person’s soul rest in peace and honestly, fuck logan paul.",1
"Haha, this is amazing. If my daughter wanted to be a Dalek for Halloween I think that would be my sign that I did something right as a parent.",0
There was actually a post linking this symbol with Corina Veraza in this subreddit so I'm not sure,0
"Jeeze, she’s got some double pink eye going on…she needs to lay off the sh*t play.",1
Damn it feels great to see a good Bulls team,0
"LMAOOOO I couldn't find it ;( It was a busy ass Saturday at the Asian Market and I was getting swarmed by groups of people while trying to carry packs of noodles in my arms. DON'T COME FOR ME! T-T
 
 
 
 I'll go back in a few days and do a more thorough search. XD",0
"Haha Joe ,What say you now ? Start packing , if you last another 3 + Years the Earth as we know it now will be gone FOREVER,ETERNALLY , CEASE TO EXIST AND BLOWN AWAY BY YOU LOSER THAT YOU MOST CERTRAINLY ARE IN MORE WAYS THAN ONE !!! #TRUMPWON",1
"I have no idea what’s that, but I hope it’s a good thing",0
CNN. Total scum....may you all pay with your lives,1
"History with show tDump is by far the most useless individual to walk the earth. Those who actually support him definitely need help. The World has watch the demise of the once strong and United States. I am thoroughly sickened by the racism, brutality and horrid attitude. Good luck to you all chanting your infantile slogans. Why not band together and build a strong economy, environment and stop the incessant childish behaviour. You all sound like school yard bullies. Petty and childish for grown men and women. Watching from Europe I am disgusted.",1
"That truly made me feel so much better, I tend to spiral when I feel I've messed things up. Truly, you've just made it easy for me to atleast sleep tonight. Thank you so much. I don't have anymore question, just immensely grateful.",0
"By now the Americans knew that the roots cause for all failures and disasters are cause by Joe Biden and his administration. Execute them all at 3:00 am , just like Joe Biden left Afghanistan and no one would know they are gone!!!!",1
Anybody willing to take a look at my SOP would be greatly appreciated. Didn't make it to the interview last year so I've been writing and rewriting a whole lot.,0
"Hillary is a loser just like her husband and they need to be in jail where they both belong along with Obama, Biden and the rest of the democratic party.",1
